Geography,Gender,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Satisfaction Score,Card Type,Point Earned,Age Category,CreditScore Category,Exited
0,0,7,0.0,0,1,1,40812.9,3,1,944,2,4,0
2,0,6,70349.48,0,0,1,178074.04,5,1,419,2,2,0
1,0,4,0.0,0,1,0,70154.22,4,0,545,2,1,0
0,1,8,122522.32,0,0,0,181297.65,5,3,828,3,1,1
0,1,2,117419.35,0,1,1,94153.83,3,2,789,4,2,0
0,1,2,131394.56,0,0,0,194365.76,2,1,567,3,4,1
1,1,5,155931.11,0,1,1,158338.39,1,2,884,4,3,0
2,1,4,109421.13,0,1,1,126517.46,1,3,296,1,4,0
2,1,9,112045.67,0,1,1,119708.21,3,0,779,1,4,1
2,1,9,137843.8,0,1,1,117622.8,1,3,730,2,2,1
2,0,2,103391.38,0,0,1,90878.13,3,0,960,2,1,0
2,1,2,103769.22,0,1,0,194099.12,1,3,268,2,4,0
2,0,10,116363.37,0,1,0,198059.16,4,3,829,2,3,0
2,0,5,146050.97,0,0,0,86424.57,3,3,665,2,2,0
0,1,5,0.0,0,0,0,116978.19,3,1,982,1,4,0
2,0,8,125561.97,0,0,0,164040.94,3,3,343,2,3,1
2,0,1,98495.72,0,1,0,40014.76,2,0,225,2,2,1
0,0,1,125211.92,0,1,1,113410.49,5,3,657,2,2,0
0,0,5,127864.4,0,1,0,87107.57,2,2,221,2,3,0
2,0,0,75888.2,0,0,0,45613.75,2,2,406,0,3,0
1,1,4,0.0,0,1,0,1643.11,5,3,549,4,1,1
0,0,4,40685.92,0,1,1,46775.28,4,2,954,3,2,0
2,0,5,136857.0,0,0,0,84509.57,4,1,823,1,3,0
2,1,9,152328.88,0,0,0,126494.82,5,0,769,1,3,0
1,0,1,56084.69,0,0,0,178798.13,5,2,481,1,2,0
1,0,8,78707.16,0,1,1,99398.36,4,3,903,3,3,0
2,0,4,109166.37,0,1,1,92840.67,3,2,882,1,2,0
2,1,6,169831.46,0,1,1,27758.36,5,1,379,2,4,0
2,1,1,101633.04,0,1,0,110431.51,3,2,469,1,2,0
2,0,10,123180.01,0,1,1,196673.28,3,2,683,2,3,0
2,1,5,150725.53,0,0,1,113656.85,1,1,770,1,3,0
0,1,8,98373.26,0,1,0,18203.0,5,3,985,0,3,0
2,0,2,133745.44,1,1,0,28373.86,4,1,725,3,3,1
0,0,6,0.0,0,1,0,33953.87,3,2,259,1,4,0
1,1,0,163607.18,0,0,1,44203.55,2,1,979,2,3,0
2,1,5,157780.84,0,1,1,58426.81,2,3,988,0,2,0
0,0,9,0.0,0,0,1,145562.4,2,2,833,2,1,0
0,1,1,178718.19,0,1,0,22388.0,1,2,527,0,3,0
0,0,8,0.0,0,1,1,139161.64,5,3,220,3,3,0
0,1,9,0.0,0,1,1,148210.64,4,1,983,1,3,0
1,0,5,77253.22,0,0,1,194239.63,3,3,582,1,4,0
2,1,10,122189.66,0,1,0,98301.61,3,3,281,2,0,0
0,1,1,96645.54,0,0,0,171413.66,3,0,798,1,3,0
0,1,2,0.0,0,1,0,136458.19,5,3,917,1,4,1
0,1,3,0.0,0,0,0,26019.59,2,0,255,2,1,0
0,1,4,90307.62,0,1,1,159235.29,4,3,511,1,1,0
0,1,4,0.0,0,1,0,1907.66,1,3,498,3,1,0
1,1,10,0.0,0,1,1,114675.75,5,0,651,4,3,0
1,0,3,121681.82,0,1,0,128643.35,2,3,852,0,3,1
0,0,9,0.0,0,1,0,151869.35,1,0,807,1,3,0
0,1,4,0.0,1,1,0,93251.42,3,2,470,3,2,1
2,1,3,81623.67,0,1,1,156791.36,1,0,659,1,2,0
1,1,5,0.0,1,1,1,174205.22,3,0,752,2,2,1
0,0,7,118626.55,0,1,0,147132.46,1,3,559,2,4,0
0,1,10,0.0,0,1,0,109614.57,2,1,375,2,1,0
0,0,8,0.0,0,1,1,172290.61,2,0,411,1,4,0
1,0,4,0.0,0,0,1,85982.47,4,0,722,2,3,0
1,0,10,176273.95,0,0,1,121277.78,1,1,231,1,1,0
1,0,9,102827.44,0,0,1,64595.25,5,0,488,2,4,0
2,0,8,97086.4,0,1,1,197276.13,2,1,965,1,4,0
1,0,8,0.0,0,0,0,99645.04,4,3,289,0,3,0
0,0,9,0.0,0,0,0,6534.18,1,2,449,1,0,0
0,1,6,0.0,0,1,1,161848.03,2,3,651,2,3,0
0,1,6,0.0,0,0,0,167162.43,2,0,520,2,2,0
0,0,9,82674.15,0,1,0,41970.72,4,0,234,1,3,0
1,0,7,0.0,0,1,0,60536.56,5,3,458,2,1,0
1,1,1,0.0,0,1,1,177655.68,2,1,915,4,3,1
1,1,4,107073.27,0,1,1,30984.59,3,1,299,3,2,1
2,0,1,88938.62,0,1,1,10054.53,4,1,838,1,2,0
2,1,2,99806.85,0,0,1,36976.52,5,2,786,2,4,0
1,0,5,150092.8,0,0,0,71862.79,3,0,509,1,2,0
2,0,9,92833.89,0,1,0,99449.86,3,0,328,1,1,1
2,0,3,90536.81,0,0,1,63082.88,4,3,347,1,3,0
2,0,7,108055.1,0,1,0,27231.26,5,3,534,2,1,0
0,0,2,100238.35,0,0,0,86797.41,5,2,709,2,2,0
1,0,9,106190.55,0,0,1,22994.32,4,3,749,2,3,0
2,0,9,154475.54,0,0,1,101300.94,5,2,541,1,3,1
2,1,9,132351.29,0,1,1,74169.13,2,1,736,1,2,0
2,1,6,167864.4,0,1,0,115638.29,4,3,529,2,3,0
0,1,1,0.0,0,1,0,31766.3,4,1,594,2,1,0
2,1,8,107818.63,0,1,0,199725.39,1,3,462,1,1,1
2,0,4,185173.81,0,1,0,120834.48,3,2,429,1,3,0
0,0,8,129433.34,0,0,0,38131.77,4,3,370,1,4,0
1,0,6,120193.42,0,0,0,100130.95,1,2,510,2,3,0
0,1,6,0.0,0,1,0,141069.88,4,0,638,2,3,0
2,1,10,126384.42,0,1,1,198129.36,1,1,462,3,3,0
0,1,3,0.0,0,0,0,183646.41,4,1,718,1,2,0
0,0,9,152603.45,0,1,0,110265.24,3,0,437,2,0,1
0,1,1,0.0,0,0,1,8636.05,4,0,485,3,1,1
2,0,0,148507.24,0,1,0,46824.08,3,2,410,3,2,1
0,1,7,0.0,0,1,0,171378.77,2,2,666,2,4,0
0,0,9,101827.07,0,1,0,167256.35,4,1,730,0,4,0
0,1,3,0.0,0,1,1,124226.16,2,2,375,1,4,0
2,1,9,130862.43,0,1,1,114935.21,5,1,411,1,4,0
0,0,9,122570.87,0,1,1,35608.88,4,0,595,2,3,0
0,0,1,0.0,0,0,1,16459.37,1,0,578,0,3,0
2,0,7,124828.46,0,1,1,124411.08,2,2,377,2,4,0
2,1,5,144895.05,0,1,1,34941.23,2,1,831,3,2,0
2,1,5,63663.93,0,0,1,167784.28,1,3,497,1,1,0
0,0,2,133463.1,0,0,1,93165.34,1,2,374,2,2,0
1,1,2,213146.2,0,1,0,75161.25,4,0,814,3,2,1
1,1,1,129490.36,0,0,1,8590.83,4,1,247,1,2,1
2,0,10,137452.09,0,1,0,189543.9,5,2,965,2,4,0
0,0,7,0.0,0,1,1,180427.24,3,3,912,1,3,0
0,1,5,125851.93,0,1,1,193318.33,4,1,462,2,3,0
1,0,2,0.0,0,1,0,159123.82,5,1,883,3,4,1
0,1,5,40915.55,0,1,0,126213.84,2,3,402,1,3,1
1,1,5,113157.22,0,1,1,54141.5,4,1,764,0,1,0
1,1,8,138296.94,0,1,0,141075.51,1,2,608,1,2,0
0,0,5,106967.18,0,0,0,24495.03,5,2,652,2,2,0
0,0,9,120681.63,0,1,0,74836.34,2,3,520,2,3,0
0,0,0,0.0,0,0,1,878.87,5,1,884,1,0,0
1,1,7,0.0,0,1,0,89520.75,1,3,800,1,4,0
0,1,9,0.0,0,1,0,149892.79,4,1,697,3,1,1
1,0,8,0.0,0,1,0,180800.42,2,3,427,2,3,0
0,0,2,127609.59,0,1,0,98646.22,1,0,620,2,1,0
0,1,6,0.0,0,1,1,109041.53,1,2,318,2,2,0
1,0,7,0.0,0,1,0,17941.16,1,1,701,3,3,1
0,1,7,0.0,0,0,0,82996.47,4,2,953,1,4,0
1,1,2,0.0,0,1,1,92067.35,5,2,635,1,2,0
0,1,6,97259.25,0,0,1,104719.66,1,2,250,4,2,0
2,1,4,123246.7,0,0,0,112687.57,3,3,662,1,2,0
1,1,6,101060.25,0,0,1,84699.56,2,1,666,0,3,0
0,0,2,0.0,0,1,0,83473.82,4,0,699,1,3,0
0,1,7,108007.36,0,0,0,47125.11,3,2,855,3,4,0
1,1,2,0.0,0,1,1,106977.8,5,3,534,2,3,0
1,0,0,133702.89,0,1,0,55582.54,1,2,388,1,3,1
2,0,9,125189.75,0,1,1,139874.43,5,1,612,1,3,0
2,1,7,113034.22,0,1,0,162503.48,2,2,801,0,3,1
1,1,9,109013.23,0,1,0,196499.96,1,2,561,2,2,0
1,1,2,0.0,0,1,0,40721.24,5,2,308,2,3,1
2,0,9,57929.81,0,0,0,53134.3,5,3,643,0,3,0
0,1,4,130114.39,0,1,0,164017.89,1,1,249,1,1,0
2,0,5,95826.49,0,1,0,155996.96,2,3,818,1,2,0
2,0,10,129608.57,0,1,0,5472.7,1,1,775,2,1,1
0,0,4,169462.09,0,1,0,112187.11,5,0,872,1,2,0
0,0,5,0.0,0,1,1,146457.83,3,0,435,2,1,0
1,1,7,133868.21,0,1,1,27286.1,2,3,415,1,1,0
0,1,0,0.0,0,1,1,130553.47,2,0,430,1,1,0
2,0,5,190479.48,0,0,0,179351.89,5,2,929,2,2,0
1,1,8,101993.12,0,0,1,94774.12,5,3,681,2,2,0
2,1,3,161608.81,0,1,0,8080.85,4,1,810,3,4,1
1,1,2,122311.21,0,1,1,19482.5,5,1,739,2,4,0
0,0,2,0.0,0,1,1,48071.61,1,3,280,4,1,0
2,1,1,162150.42,0,1,0,174531.27,2,0,250,2,4,0
0,0,2,0.0,0,1,1,55470.78,4,2,991,2,2,0
0,1,4,0.0,0,1,1,8546.87,2,1,482,3,4,1
0,0,8,0.0,0,1,0,95857.18,4,2,423,1,1,0
0,1,1,99010.67,0,1,0,194945.8,5,1,260,2,3,0
1,1,0,0.0,0,0,1,131521.72,5,3,642,2,1,0
1,0,5,0.0,0,0,1,196108.51,4,2,701,1,2,0
2,1,7,111388.18,0,1,0,148564.76,4,1,570,1,3,0
0,1,8,56214.85,0,0,0,92982.61,4,1,790,2,3,1
0,1,3,84327.77,0,1,0,17675.36,5,2,727,2,1,0
0,0,1,0.0,0,0,0,114996.43,3,3,909,2,1,0
0,0,8,93012.89,0,1,0,86957.42,2,1,799,1,2,0
1,0,9,61710.44,0,1,0,128077.8,1,0,520,1,2,0
0,0,3,174790.15,0,1,1,600.36,3,3,861,1,4,0
1,1,6,0.0,0,1,1,43001.46,5,1,512,1,2,0
2,0,3,107720.64,0,1,1,158591.12,1,2,478,2,3,0
0,0,10,0.0,0,1,1,47847.19,5,2,374,3,1,0
0,0,6,96423.84,0,1,0,10488.44,4,2,280,1,1,0
1,0,2,141040.01,0,1,1,5978.2,2,0,615,1,4,0
0,0,4,105420.18,0,0,1,121409.06,3,1,435,2,4,0
1,0,5,0.0,0,0,1,146145.93,5,1,509,3,1,1
0,1,2,129022.06,0,1,1,14374.86,4,0,321,2,3,1
1,0,3,176666.62,0,1,0,94670.77,1,2,726,1,1,0
0,0,3,0.0,0,1,1,179670.31,3,1,516,2,1,0
1,1,3,89763.84,0,0,0,199304.74,3,2,639,2,2,1
0,0,5,134954.53,0,1,1,151954.39,2,3,512,1,2,0
0,0,5,0.0,0,1,0,142513.5,3,1,730,2,2,1
0,0,2,106376.85,0,0,1,158264.62,3,0,244,2,3,0
2,0,2,161814.64,0,1,0,169381.9,3,2,292,1,3,0
0,0,8,0.0,0,1,1,169915.02,3,1,245,1,2,0
0,1,9,0.0,0,0,0,88852.47,3,0,848,2,2,0
0,1,1,63095.01,0,1,1,40645.81,3,3,974,1,3,0
2,0,4,118287.01,0,0,0,60427.3,4,0,958,1,2,0
2,0,7,106854.21,0,0,1,157959.02,3,1,629,3,3,1
0,0,7,49512.55,0,1,0,133007.34,3,0,310,3,3,0
1,1,9,0.0,0,0,0,176576.62,1,3,621,1,3,0
0,0,1,105799.32,0,1,0,34888.04,4,0,924,2,4,1
0,0,8,0.0,0,1,1,28737.71,2,2,359,3,2,1
0,1,9,114722.05,0,1,1,98178.57,5,3,811,1,3,0
1,0,7,0.0,0,0,1,125010.24,4,0,583,1,1,0
0,0,2,0.0,0,1,1,167984.61,5,3,959,2,2,0
0,0,10,0.0,0,1,0,4861.72,1,3,359,1,4,1
2,0,6,99564.22,0,1,1,108872.45,3,2,901,2,3,1
0,0,4,170557.91,0,1,0,198252.88,5,1,729,2,3,0
0,1,9,0.0,0,1,1,26960.31,5,0,829,1,3,0
2,1,6,74596.15,1,1,1,85746.52,4,3,790,2,1,1
2,0,2,96888.39,0,1,0,77206.25,2,0,756,3,4,1
2,1,3,130830.22,0,1,0,61048.53,4,1,873,1,2,0
0,0,1,0.0,0,0,1,111981.19,3,3,865,4,3,0
0,0,0,0.0,0,1,0,62232.6,5,1,690,2,2,0
0,1,1,0.0,0,0,1,156105.03,4,2,722,2,1,0
2,0,3,119714.25,0,0,1,150135.38,4,0,535,0,4,0
0,1,5,113978.97,0,0,1,93146.11,5,3,580,4,2,0
2,0,6,100160.75,0,1,0,33462.94,3,1,709,2,4,1
0,1,2,0.0,0,1,1,144375.0,4,1,930,1,3,0
2,1,3,116220.5,1,1,0,55803.96,4,0,264,2,1,1
0,1,2,0.0,1,1,0,89048.46,1,0,943,3,3,1
0,0,2,81173.83,0,0,1,162812.16,2,2,388,1,3,0
1,0,4,0.0,0,1,0,136259.65,5,1,248,2,3,0
2,1,5,116803.8,0,1,0,124052.97,2,1,763,2,3,0
0,0,8,105961.68,0,0,1,74158.8,1,0,619,2,3,0
2,0,6,117411.6,0,1,1,45071.09,2,3,815,4,3,1
1,0,7,0.0,0,1,0,62030.06,4,0,566,1,1,0
0,1,10,123497.58,0,1,0,131953.23,5,1,774,2,2,1
2,0,7,152400.51,0,1,0,79414.0,1,2,695,1,4,0
0,1,1,0.0,0,1,1,199638.56,5,2,902,1,1,0
2,0,8,103097.85,0,1,1,157577.29,2,1,532,0,2,0
2,0,8,126418.14,0,1,0,134420.75,2,0,718,3,3,1
2,1,5,77846.9,0,0,0,99805.99,5,2,895,2,4,0
1,1,1,0.0,0,1,1,97932.68,4,0,749,1,2,0
0,1,0,0.0,0,0,1,170968.99,5,0,333,4,3,0
2,0,2,79731.91,0,1,1,57558.95,4,0,866,2,1,0
1,0,8,0.0,0,0,0,176713.47,3,3,671,1,3,0
1,0,0,0.0,0,0,1,34283.23,4,1,670,2,4,0
0,0,10,0.0,0,1,1,198637.34,4,1,768,1,3,0
2,1,6,37266.67,0,0,0,156917.12,3,3,565,1,3,0
0,1,6,127992.25,0,1,1,50457.2,1,3,483,1,3,0
2,0,3,54901.01,0,1,1,140075.55,2,1,926,2,4,0
2,0,9,108748.08,0,1,1,65323.11,1,0,932,2,3,0
1,1,6,99906.19,0,1,0,64323.24,4,0,901,3,3,0
0,1,6,184686.41,0,1,0,14956.44,3,1,299,1,2,0
0,1,0,110654.02,0,0,1,111879.21,2,2,899,1,3,0
1,0,9,79019.8,0,1,1,18606.23,4,2,467,1,3,0
1,1,9,99240.51,0,1,0,123137.01,1,2,717,2,1,0
0,0,2,0.0,0,1,1,148528.24,1,0,549,1,1,0
0,0,7,0.0,0,1,0,13898.31,1,1,545,2,3,0
1,1,7,0.0,0,0,0,81259.25,2,1,716,2,1,1
2,1,7,52436.2,0,1,0,161051.75,2,3,650,1,4,0
1,0,9,0.0,0,0,1,191599.67,4,2,693,2,2,0
2,0,3,100337.96,1,1,0,48559.19,4,2,759,1,3,1
2,1,1,149297.19,0,1,1,186339.74,2,1,946,1,4,0
0,0,8,0.0,0,1,0,33159.37,5,1,402,1,3,0
2,0,4,145605.44,0,0,1,93883.53,3,2,465,1,3,0
1,1,7,0.0,0,1,1,110899.3,1,1,799,2,3,0
0,0,3,0.0,0,1,1,11199.04,3,3,600,4,4,1
0,1,10,0.0,0,1,0,189992.97,2,2,306,3,4,0
0,0,6,84026.86,0,0,1,164255.69,3,3,635,1,2,0
0,0,1,0.0,0,1,0,152167.79,2,2,747,3,3,1
0,0,8,0.0,0,1,1,33949.67,3,2,424,2,4,0
1,0,10,0.0,0,1,1,68143.93,2,0,913,1,4,0
2,0,4,138718.92,0,1,1,47251.79,1,1,751,1,1,1
0,0,7,118274.71,0,1,1,25885.72,3,0,899,2,4,0
0,1,8,174185.98,0,0,1,192633.85,3,2,219,0,4,0
0,0,7,113208.86,0,1,0,34577.36,3,3,587,2,3,0
1,0,5,103907.28,0,1,0,161229.84,2,3,861,1,2,0
0,1,8,119023.28,0,1,0,100816.29,1,2,278,1,1,0
1,1,5,166297.89,0,1,1,181694.44,1,2,526,1,3,0
1,0,10,0.0,0,1,0,79078.91,2,2,632,1,2,0
2,0,9,63227.0,0,0,1,137316.32,3,3,301,2,3,0
1,1,5,94521.17,0,1,0,194926.86,1,0,806,2,3,0
0,0,7,0.0,0,1,0,51285.49,1,2,250,1,2,0
1,1,9,112822.26,0,0,0,150401.53,2,2,563,1,3,1
0,0,3,0.0,0,1,1,112491.96,1,0,861,2,3,0
0,0,2,135903.33,0,1,0,73656.38,4,2,790,0,4,0
0,1,4,125169.26,0,1,1,106636.89,3,2,669,1,3,0
1,1,7,0.0,1,1,0,155853.52,2,3,336,2,3,1
0,0,0,149117.31,0,1,1,162599.51,1,1,517,3,1,0
0,0,5,0.0,0,1,1,103737.82,4,2,499,1,2,0
0,1,10,0.0,0,1,0,160990.27,3,3,673,1,3,0
1,1,6,132311.71,0,0,0,15462.84,2,3,268,2,2,0
0,0,8,0.0,0,1,0,10334.05,5,2,809,1,3,0
0,1,6,0.0,0,1,1,190686.16,5,1,460,1,3,0
0,0,4,118082.89,0,0,0,94440.45,4,3,221,1,2,0
0,0,1,119266.69,0,1,1,28257.63,2,3,730,1,3,0
0,0,2,0.0,0,1,1,170034.95,2,0,777,2,3,1
2,0,7,156847.29,0,1,0,31824.29,4,3,837,1,2,0
0,0,4,137104.47,0,1,0,127166.49,1,0,958,3,2,1
2,0,8,78398.69,0,1,0,44937.01,4,2,809,1,0,0
0,1,4,0.0,0,1,1,188603.07,1,1,662,4,3,0
2,0,6,63669.42,0,1,0,145111.37,2,1,484,1,3,0
0,0,3,0.0,0,0,0,171463.83,2,1,737,2,2,0
2,1,0,135296.33,0,1,0,182822.5,1,3,486,3,4,0
1,0,2,153804.44,0,1,1,87213.33,3,3,252,2,3,0
1,0,3,0.0,0,0,0,57175.32,4,3,275,2,1,0
0,0,2,147069.78,0,1,0,120540.83,1,0,245,3,2,1
1,0,9,0.0,0,1,1,28714.34,4,2,361,2,3,0
1,1,3,0.0,0,1,0,85426.28,4,0,483,0,2,0
0,0,4,95741.75,0,1,0,46170.75,2,1,352,0,0,0
1,1,2,145965.33,0,1,1,64448.36,5,2,337,3,1,0
0,1,8,141441.75,0,1,1,16278.97,1,3,597,1,3,0
0,0,1,139290.41,0,1,0,182855.42,1,3,381,2,3,1
0,1,4,0.0,0,0,0,50404.72,3,2,668,1,4,0
0,0,3,0.0,0,1,0,107640.25,4,0,245,1,3,0
0,0,4,144428.87,0,1,0,134132.65,2,2,495,1,3,0
0,0,2,0.0,0,1,0,103480.69,4,0,378,1,2,0
0,1,9,95441.27,0,1,0,108761.05,1,3,568,3,2,1
2,0,1,144848.74,0,1,1,179012.3,5,2,731,1,3,0
2,0,7,116244.14,0,1,1,95145.14,2,1,837,1,3,0
0,0,7,0.0,0,0,1,72143.44,1,1,829,3,3,0
1,1,1,146502.07,0,1,0,19162.89,3,0,230,2,3,0
2,0,2,117028.6,0,0,1,144680.18,4,0,919,2,3,0
2,1,8,112013.81,0,1,0,177772.03,4,2,641,1,2,1
1,1,6,108269.37,0,1,0,5597.94,2,0,457,2,2,0
0,0,7,182123.79,0,1,0,116828.51,4,1,583,1,1,1
2,1,3,150923.74,0,0,1,174652.51,2,2,849,1,3,0
0,0,2,0.0,0,1,0,2010.98,3,0,720,1,2,0
1,1,5,165272.13,0,1,0,14109.85,3,3,317,2,4,1
2,1,10,115301.31,0,1,0,43527.4,5,0,465,2,3,1
2,1,6,129502.49,0,0,1,86099.23,4,1,269,2,2,1
0,0,4,118342.26,0,0,0,161574.19,3,3,391,1,3,0
1,1,5,0.0,0,1,1,38970.14,4,2,373,3,1,0
0,0,8,0.0,0,0,0,127587.22,3,2,251,0,1,0
0,1,7,0.0,0,1,0,30380.12,2,2,237,0,3,0
0,1,7,0.0,0,1,0,90908.95,2,3,645,2,4,0
2,1,9,106937.05,0,1,0,138275.01,3,3,624,1,2,0
2,0,3,170331.37,0,1,1,32171.79,5,2,838,3,2,0
2,1,1,114510.85,0,1,1,126143.23,4,1,224,1,3,0
0,0,5,0.0,0,1,1,129892.93,4,0,343,2,2,0
1,0,3,107594.11,0,1,1,102416.84,3,0,683,1,3,0
1,0,2,81273.13,0,1,1,18719.67,5,1,929,2,4,0
1,1,7,169399.6,0,1,0,61936.22,4,2,234,1,2,0
1,0,6,0.0,0,1,1,78358.94,3,0,723,0,3,0
0,1,1,187841.99,0,1,1,147224.27,1,2,482,2,2,0
0,0,0,0.0,0,1,0,160979.66,4,0,231,1,1,0
1,1,8,126776.3,0,1,1,132298.49,3,1,244,3,4,0
1,0,9,126436.29,0,1,0,174248.52,3,1,973,1,1,1
0,0,1,101960.74,0,1,1,123547.28,5,3,463,2,3,0
0,0,3,0.0,0,0,1,32790.02,5,0,253,3,1,0
1,0,3,0.0,0,0,1,181543.67,3,3,241,1,3,0
2,1,2,150842.93,0,0,1,2319.96,5,2,537,2,2,1
0,1,9,102535.57,0,1,1,189543.19,5,0,332,3,2,0
2,1,9,99027.61,0,1,0,10940.4,5,2,390,1,0,0
0,0,9,0.0,0,1,1,199493.38,4,2,763,4,2,0
1,1,3,0.0,0,1,1,188193.25,4,1,240,1,2,0
2,1,9,87271.41,0,1,0,172572.64,1,2,978,2,1,0
2,1,8,102742.91,0,1,1,189339.6,5,0,366,1,1,0
2,0,2,40105.51,0,0,1,53512.16,3,0,356,1,2,0
0,1,2,152265.43,0,1,0,34004.44,1,3,907,1,2,0
1,0,4,141947.67,0,1,1,10598.29,3,3,687,2,4,0
2,1,1,106307.91,0,0,1,113428.77,2,2,703,4,2,0
2,0,0,107884.81,0,1,1,183487.98,2,0,388,1,2,0
2,0,1,125013.72,0,1,1,187658.09,2,0,579,1,4,0
2,0,7,58469.37,0,1,1,172459.39,2,1,793,1,3,0
0,1,8,0.0,0,0,1,21016.0,3,1,828,2,4,0
2,0,10,117231.63,1,1,1,122381.02,2,1,291,2,3,1
1,0,4,152390.26,0,1,0,128123.66,4,1,951,1,2,0
1,1,2,34013.63,0,1,0,19570.63,2,0,952,1,2,0
1,1,2,0.0,1,0,0,188150.6,2,1,616,2,3,1
0,1,9,0.0,0,1,1,111020.24,5,3,706,3,1,0
0,0,7,101583.11,0,1,0,123775.15,2,0,423,2,3,0
2,1,10,77168.87,0,0,1,146700.22,5,1,552,1,1,0
2,0,8,124695.72,0,1,0,145251.35,3,0,665,1,3,0
2,0,3,105934.96,0,1,0,82463.69,3,2,351,2,3,0
0,1,9,0.0,0,1,1,15928.49,3,0,906,4,2,0
1,0,6,0.0,0,1,0,45886.33,4,0,406,3,2,0
1,0,2,0.0,0,1,1,186489.95,4,1,594,4,3,0
1,1,2,0.0,0,0,1,162922.65,1,2,815,2,3,0
0,1,10,161525.96,0,1,0,9262.77,2,2,458,0,1,0
2,1,7,147199.07,0,1,1,84932.4,3,3,886,1,3,0
2,0,3,183102.29,0,1,1,71557.12,3,3,833,2,4,0
1,0,9,127209.0,0,1,0,77405.95,4,1,932,3,2,1
1,0,8,0.0,0,0,0,417.41,3,1,632,2,2,1
1,1,0,97378.54,0,1,1,71405.17,2,0,431,0,2,0
2,1,2,136925.09,0,0,1,153400.24,3,2,739,2,2,0
0,0,3,54503.55,0,1,1,371.05,5,3,362,1,2,0
2,0,8,155726.85,0,1,0,67789.99,2,3,309,1,1,0
0,1,9,0.0,0,0,1,145894.9,2,1,513,2,3,0
0,1,1,135842.41,0,1,0,183840.51,2,0,302,4,2,1
0,0,1,63349.75,0,1,0,108887.44,2,0,437,3,2,0
2,1,4,129499.42,0,1,1,154071.27,5,3,337,2,2,0
1,0,8,0.0,0,0,1,179291.85,5,3,629,3,4,0
1,0,6,70438.01,0,0,1,56937.43,4,1,858,2,0,0
0,0,8,0.0,0,1,1,112239.03,2,3,543,0,3,0
0,0,9,0.0,0,1,0,45909.87,1,0,939,2,3,0
1,1,9,141434.04,0,0,0,173779.25,5,1,797,3,1,1
1,1,4,0.0,0,1,0,125696.26,4,3,629,2,2,0
2,0,10,152958.29,0,1,1,159585.61,2,3,743,2,3,0
2,1,3,138306.34,0,1,0,106761.47,5,0,767,2,1,0
1,0,10,0.0,0,0,0,129590.18,2,3,246,0,3,0
